Name,Comment,Time,Likes,Reply Count
Beast99 FF,Thank you for 660 subscribers❤️❤️❤️<br /><br />Abb 680 karwado guys<br /><br />Love you all for supporting❤️❤️,2021-04-04T16:40:30Z,1,0
Rk Kin,Oppp fan Hu apka,2021-04-04T16:34:50Z,0,0
azmatullah ansari,Please sir ek bar mere shat game khela legiye please😭😭😭🙏🙏🙏1967601233,2021-04-04T16:32:43Z,0,0
Saurabh singh,Hello ajju bhai,2021-04-04T16:31:55Z,1,0
binu vasudevan,Cuomo jelly,2021-04-04T16:31:45Z,0,0
Chirag VIG,I am your big fan,2021-04-04T16:31:44Z,0,0
Santosh Kangankar,कल 9 से 10 बजे तक खाल्लेगे प्लीज भाई,2021-04-04T16:31:17Z,0,0
azmatullah ansari,Please Ajju bhai mere sath ek bar gameplay kar lijiye please 🙏🙏🙏😭😭😭🙄1967601233,2021-04-04T16:31:14Z,0,0
Santosh Kangankar,कल 9 बजे शुभह खाल्लेगे प्लीज,2021-04-04T16:29:03Z,0,0
Anil Maurya,Ultra boot,2021-04-04T16:28:54Z,0,0
Anil Maurya,Aim boot,2021-04-04T16:28:23Z,0,0
Baap Ji Gaming,Thanks to all<br />Please 10 Subscriber Kara do,2021-04-04T16:27:28Z,0,0
Ritu Kawar,Hii aju Bahi good night 👍👍👍👍,2021-04-04T16:26:35Z,0,0
Swami Bavla,2664098882,2021-04-04T16:25:34Z,0,0
Roman reigns lover,Ajju bhai dum hai to mere sath one y one karke dekho,2021-04-04T16:25:01Z,0,0
Swayam Deshmukh,i love rcb bhai,2021-04-04T16:24:30Z,0,0
Baap Ji Gaming,Thanks to all<br />Please 10sub Kara do,2021-04-04T16:24:21Z,0,0
Baap Ji Gaming,10 Subscriber Kara Do,2021-04-04T16:23:38Z,0,0
HP Gaming,Ajjubhai piru,2021-04-04T16:22:41Z,0,0
Santosh Kangankar,बाई मेरा नाम proking12 हे मेरी रिक्वेस्ट ऐक्सेप्ट करो प्लीज 😉,2021-04-04T16:22:35Z,0,0
HP Gaming,Ajjubhai bohot ar,2021-04-04T16:22:28Z,0,0
HP Gaming,Ajjubhai Op kehte,2021-04-04T16:22:19Z,0,0
HP Gaming,OP Ajjubhai,2021-04-04T16:22:04Z,0,0
HP Gaming,Op bhi,2021-04-04T16:21:55Z,0,0
HP Gaming,Ajjubhai. The Pro,2021-04-04T16:21:43Z,0,0
MD shourov 2R,Hi I&#39;m Bangladesh,2021-04-04T16:21:13Z,1,0
TECHNO GAMING,Mumbai will win,2021-04-04T16:21:06Z,0,0
Harpreet Singh,Good night sir,2021-04-04T16:21:02Z,0,0
laxman bam,Ajjuuuuuu bhai love from nepal,2021-04-04T16:19:54Z,0,0
Ramchandra Podh,Happy Birthday auju bhai❤️❤️,2021-04-04T16:15:54Z,0,0
Kalpana Jaiswal,Ajjubhai kya app mujhe 500 diamonds de sekte ho mere 1id me shyamaMAA123 bhai please please,2021-04-04T16:15:33Z,1,0
Manju Rani,Wtf movmeny,2021-04-04T16:15:21Z,0,0
007 Gaming,Hello give me,2021-04-04T16:14:34Z,1,0
Priam Asia,good mg,2021-04-04T16:14:18Z,0,0
Priam Asia,# 1,2021-04-04T16:13:58Z,0,0
Devil ff,Ajjubhai your pro please give me dj,2021-04-04T16:13:18Z,0,0
Dipak Rathod,Hii,2021-04-04T16:11:23Z,0,0
Maroti Shinde,Aap ki friend list Bhar chuki hai,2021-04-04T16:09:19Z,0,0
bhai lodhi,𝕄𝕖 𝕓𝕙𝕒𝕚 𝕝𝕠𝕘𝕒𝕠,2021-04-04T16:08:57Z,0,0
Maroti Shinde,Request le Lina ajjubhai please please please please please please please please please please,2021-04-04T16:07:52Z,0,0
Danis gamar,Ajju bhai oppe oppe,2021-04-04T16:07:14Z,0,0
Prakash Koli,👌👌👌👌,2021-04-04T16:06:40Z,1,0
Rishi Arjee,150 rupees dhega,2021-04-04T16:05:32Z,0,0
Sunil Armo,Hii,2021-04-04T16:02:49Z,1,0
Ganga Kadam,Hi,2021-04-04T16:02:38Z,1,0
N!NJa GaMERs,Open challenge to ajjubhai 2 v 1 m aajao,2021-04-04T16:01:56Z,0,0
Abdullah Saikh,Hello Bhai please Bhai diamond de do Bhai please,2021-04-04T16:01:29Z,0,0
MANOJ MAJNU,Manoj majnu,2021-04-04T16:00:54Z,0,0
MAFIA gamer,MAFIR gamer op,2021-04-04T16:00:51Z,1,0
MANOJ MAJNU,7205560239,2021-04-04T16:00:47Z,0,0
MANOJ MAJNU,300 dimond dona,2021-04-04T16:00:37Z,0,0
PRAVEEN Praveen,Please 1Vs1 Ajju bhai 94,2021-04-04T16:00:25Z,0,0
MANOJ MAJNU,Mujhe contact karo aur,2021-04-04T16:00:25Z,0,0
MANOJ MAJNU,Bhai please,2021-04-04T16:00:11Z,0,0
MAFIA gamer,op,2021-04-04T16:00:06Z,1,0
PRAVEEN Praveen,Please 1Vs1,2021-04-04T15:59:54Z,0,0
Mashood Raza,DAImand nhi beja,2021-04-04T15:59:33Z,1,0
Deepak Teshwer,Tu chimkandhi ha,2021-04-04T15:58:59Z,0,0
Kyle Clarke,happy birthday ajjubhai,2021-04-04T15:58:37Z,0,0
Maya Saha,Sale noohre me hu backside gamer yani ki Grandga54380 uid-2597356289 aukat hai to mujhe pehele friend bana or uske bad custom khel,2021-04-04T15:57:38Z,0,0
JM gamer,hi hello,2021-04-04T15:56:25Z,0,0
sarala diware,Ajubhai op bhai hammari team es baar jitengi bro❤️,2021-04-04T15:55:40Z,0,0
FF GAMER,Please bhai please bhai,2021-04-04T15:55:27Z,0,0
Final Strike,"<a href=""https://www.youtube.com/watch?v=NFlpZL7_rNo&amp;t=56m52s"">56:52</a> ಈ ಸಲ ಕಪ್ ನಮ್ದೇ 💓💓",2021-04-04T15:55:24Z,1,0
Ansh Mattu,Ajjui bhai challenge b2k 30lak complete ho gayi ge,2021-04-04T15:54:44Z,0,0
Ramchandra Bharti,Plese bro I&#39;m garib plese lal vala emot dado,2021-04-04T15:53:55Z,1,0
Anil Ingale,👽,2021-04-04T15:53:41Z,0,0
Shaban Malik,I am. Your. Bra,2021-04-04T15:53:32Z,0,0
FF GAMER,Hiii ajju bhai mujhe ak bandel gift kar dijiye mera UID no 2715926199 please bhai,2021-04-04T15:53:18Z,0,0
Anil Ingale,☺😊😀😁😂😃😄😅😆😇😈😉😯😐😑😕😠😬😡😢😴😮😣😤😥😦😧😨😩😰😟😱😲😳😵😶😷😞😒😒😍😛😜😝😋😗😙😘😚😎😭😌😖😔😪😏😓😫🙋🙌🙍🙅🙇🙆🙎🙏😺😼😸😹😻😽😿😾🙀🙀🙈🙈🙉🙊💩👶👦💏,2021-04-04T15:53:16Z,0,0
gaming kids yt,No,2021-04-04T15:52:53Z,0,0
Chandan Pandey,"हेलो अज्जू भाई मैं आपका बहुत बड़ा फैन हूं प्लीज मुझे 10,000 डायमंड और कोरोनो कैरेक्टर गिफ्ट में दे दो मेरी आईडी302pp है",2021-04-04T15:51:58Z,0,0
FF GAMER,Hiii,2021-04-04T15:51:21Z,0,0
Kuldeep Singh,Bai mujhe krona share चेरेकटर de do,2021-04-04T15:51:21Z,0,0
Keshab Madkami,Nice video,2021-04-04T15:51:14Z,0,0
Kamal Singh Indoliya,You can play ff game with plug to charging,2021-04-04T15:51:13Z,0,0
Anil Ingale,😊,2021-04-04T15:50:44Z,1,0
Kalam Dadabadi,भाई डीजे अलर्ट गिफ्ट कर दो ना,2021-04-04T15:50:42Z,0,0
Shaban Malik,I. Going. Your. Army,2021-04-04T15:50:24Z,0,0
Parmeswar Minj,Hi Ajju,2021-04-04T15:48:23Z,0,0
Kabir Ahmad,🤩🤩🤩🤩🤩🤩🎙️,2021-04-04T15:47:54Z,0,0
K Gamerz,Daemond de de v i,2021-04-04T15:47:24Z,0,0
Kabir Ahmad,Hi I&#39;m Danish,2021-04-04T15:47:16Z,0,0
Shaban Malik,Your dad1552H. Give. Diamond.,2021-04-04T15:47:06Z,0,0
prafulla kumar mall,Bahi Kay op head short matte ho 😜😊🙂,2021-04-04T15:47:02Z,0,0
prafulla kumar mall,Bahi Kay op head short matte ho 😜😊🙂,2021-04-04T15:46:58Z,0,0
Funniest ever,"ajjubhai94 ak baar ookaat ke baat kar lo (1v1) my id mightyrs, plz bro",2021-04-04T15:46:36Z,0,0
Ganesh Lodhi,Jab aapki pahle video aai thi toh kon sa sijan chal rha tha,2021-04-04T15:44:34Z,0,0
Final Strike,"<a href=""https://www.youtube.com/watch?v=NFlpZL7_rNo&amp;t=1h21m00s"">1:21:00</a>RCB is love 💓lv from ಕರ್ನಾಟಕ. ಅಜ್ಜುಭೈ",2021-04-04T15:43:48Z,2,0
Mr Official,Hello ajjubhai,2021-04-04T15:43:24Z,0,0
Raj bhai ff total gameing,Ajju bhai mere yaar 5000 diamond dal to meri id name Rajbhai#@#@$ please bhai,2021-04-04T15:43:03Z,0,0
Arjun_Gaming,Good morning,2021-04-04T15:43:02Z,0,0
deepak prajapti,😁😂😂😂😂😂😂😂😂😂,2021-04-04T15:42:48Z,0,0
Chitra Shet,IPL cup this year to Ajjubhai only👍🔥,2021-04-04T15:42:18Z,1,0
all about phone,Hii,2021-04-04T15:41:19Z,0,0
RUCK FF,ajjubhai Nepal ki sayok kardo na Aap to 22 milion plz,2021-04-04T15:40:46Z,0,0
SCAR LORD GAMER,Scar lord gamer,2021-04-04T15:40:14Z,1,0
Dinesh singh,Op.ajjubhai,2021-04-04T15:39:26Z,0,0
Asha Jyothi,Op game play,2021-04-04T15:39:12Z,0,0
Maani solanki,No ajjubhai94.,2021-04-04T15:39:06Z,1,0
Aniket Bhardwaj,Id mera dekh lena 1657665507,2021-04-04T15:38:47Z,0,0
Aniket Bhardwaj,1 game please ajju bhai mere sath,2021-04-04T15:38:08Z,0,0
Payes Guleria,😅😅😅😅😅😅😅😍😍😘😍⏰⏰⏰♌♌♌♍♋♈♈♈⏳♍⏳♈💐🔜💐🔜♈♈🔝♈🔝🔜♈🔝♈🔜🔝♈💐♈♉🔝♍🔝🔚♍🔝💎♨🚨💎💍♨🔜♨🚦♨🅿⛽🔝♈🔝♈♈🔝🔜🔝,2021-04-04T15:37:17Z,0,0
sudip sardar,Op op vai,2021-04-04T15:36:47Z,0,0
A_S Gamer free fire,Op,2021-04-04T15:36:28Z,0,0
sahil gaming yt,Love from mavi ❤,2021-04-04T15:36:16Z,0,0
rock gamer,🤟🤟🤟🤟🤟🤟🤟🤟🤟,2021-04-04T15:33:18Z,0,0
Amit Bhai,&quot;Life is short thing&quot;<br />&quot;Girlfriend is nothing everything &quot;<br />Total gaming fans<br />👇👇👇👍👍,2021-04-04T15:32:01Z,3,0
dark vision,"<a href=""https://www.youtube.com/watch?v=NFlpZL7_rNo&amp;t=2h54m00s"">2:54:00</a> 🤣🤣🤣🤣🤣🤣",2021-04-04T15:31:11Z,0,0
Atiq-ur-Rehman Qureshi,good morning 👶,2021-04-04T15:31:00Z,1,0
Bharat Dayma,main aapko UID Deti Hai,2021-04-04T15:31:00Z,0,0
Bharat Dayma,please Mere Sath bhi khelna yaar,2021-04-04T15:30:48Z,0,0
Bharat Dayma,Naam Bharat,2021-04-04T15:30:34Z,0,0
rinku king gaming,Kun se sem natwark se kelte ho,2021-04-04T15:30:28Z,0,0
Bharat Dayma,Ajju Bhai mera comment Jarur padhna,2021-04-04T15:30:23Z,0,0
Bharat Dayma,Ajju bhai meri request uthao,2021-04-04T15:29:51Z,0,0
Kiran Verma,Arjun bhai mere ko pata hoga diamond dedoid3322k vibhulv,2021-04-04T15:28:59Z,0,0
Sangita Kuvadiya,Abe ajjubhai ilaet pass de,2021-04-04T15:27:59Z,1,0
Games of Ali,Aaju bhai dialogue baazi mey control karo jada bhavuk na ho jao.,2021-04-04T15:26:16Z,0,0
Dharamraj Yadav,Tania,2021-04-04T15:25:26Z,0,0
Viral Desai,face reveal kyare karso,2021-04-04T15:24:35Z,0,0
Maharsh rajgor Maharsh rajgor,Bhai mara ko krono da dijia,2021-04-04T15:24:16Z,0,0
Jagdish Choksi,1v1 aajao,2021-04-04T15:19:25Z,0,0
Jagdish Choksi,Ajjubhai bot,2021-04-04T15:18:54Z,0,0
Aaditya Sahu,the fight will be then equel then send me 1000 diamond to buy corono [cr7],2021-04-04T15:18:42Z,1,0
Jagdish Choksi,Worst YouTube channel,2021-04-04T15:18:41Z,0,0
TIK TOK KI MASTI,I&#39;d Pawanbh2751U,2021-04-04T15:18:32Z,0,0
TIK TOK KI MASTI,I&#39;d Pawanbh2751U,2021-04-04T15:18:31Z,0,0
Raj Bora,Hello vi,2021-04-04T15:17:46Z,0,0
Rabin77 Gaming,Hlo vaii,2021-04-04T15:16:48Z,0,0
Sunita devi,Ajju bahi KI id 451012596,2021-04-04T15:16:34Z,1,0
Maani solanki,Op op op op op op op op op op op op op op,2021-04-04T15:15:41Z,1,1
Aaditya Sahu,Amitbhai come to 1 to 1 fight,2021-04-04T15:15:26Z,1,0
SATISH BANSODE,Good night,2021-04-04T15:13:37Z,0,0
『꧂IÑDIÂÑ꧂ 』 『GAMER』,Ajjaa custom me,2021-04-04T15:13:16Z,0,0
Anish Mandal,good morning,2021-04-04T15:12:53Z,0,0
『꧂IÑDIÂÑ꧂ 』 『GAMER』,Tum4me1,2021-04-04T15:12:37Z,0,0
Marjina begum,You&#39;re create very intrceting vadio,2021-04-04T15:12:33Z,0,0
『꧂IÑDIÂÑ꧂ 』 『GAMER』,Dam ha to,2021-04-04T15:12:27Z,0,0
『꧂IÑDIÂÑ꧂ 』 『GAMER』,Bhai custom laga,2021-04-04T15:12:20Z,0,0
Tumpa Mukherjee,Hi,2021-04-04T15:10:51Z,0,0
Sumit Kumar,Bhai aapke instagram pe followers Bdane h kya,2021-04-04T15:08:26Z,0,0
ठाकुर NK,Op video,2021-04-04T15:08:15Z,0,0
Kachan Vays,Ples,2021-04-04T15:07:55Z,0,0
Sampat Bendar,Hi,2021-04-04T15:04:57Z,1,0
Jesal Gaming,best gameplay,2021-04-04T15:04:15Z,0,0
Kachan Vays,Aju Bhai 56620 damomds Id Chiragki52it,2021-04-04T15:04:13Z,1,0
Susmita Limbu,Ajju bhai muga hayato.,2021-04-04T15:02:43Z,0,0
Maani solanki,👌👍👍👍👍👍👍👍👍👍👍👍,2021-04-04T15:01:49Z,1,0
ŇőŤÝ ĶÍĽĽÉŔ śķ GAMMER,i like your game play,2021-04-04T15:01:40Z,0,0
ashish singh ashish singh,Hii ajju bhai,2021-04-04T15:01:18Z,0,0
Susmita Limbu,Doramon0658v,2021-04-04T15:01:16Z,0,0
ŇőŤÝ ĶÍĽĽÉŔ śķ GAMMER,please ajjubahi bate karo na 😘😘😘😘,2021-04-04T15:00:51Z,0,0
sana khan,Hii Mai Mumbai se hu and you ❤️❤️❤️❤️❤️,2021-04-04T15:00:30Z,1,0
sana khan,Mumbai se Kon Kon hai ❤️🔥🔥❤️❤️🔥🔥❤️❤️🔥🔥❤️❤️,2021-04-04T15:00:12Z,1,0
Susmita Limbu,Anju bhai my I&#39;d is doramon,2021-04-04T14:59:41Z,1,0
AKIBUR GAMING,🥰😍😍🥰🥰😍🥰🥰😍💕💕💕💕💕❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,2021-04-04T14:58:14Z,0,0
Arjun pawar,Lut gaye song op,2021-04-04T14:56:34Z,1,0
PLEASE SMILE,Op intor,2021-04-04T14:56:30Z,0,0
STAR GAMING,Thumbnail criminal but criminal nothing 😂😂😂🤣,2021-04-04T14:56:01Z,0,0
Ratan bhil,Nice video games,2021-04-04T14:55:58Z,1,0
ŇőŤÝ ĶÍĽĽÉŔ śķ GAMMER,ajjubhai ap apna game ke id bata ho,2021-04-04T14:55:22Z,0,0
Priyansh Sharma,Main tumko just abhi abhi Ek Team invitation bhej raha hun please accept kar lena bro mera pass serif 2 diamond ha,2021-04-04T14:54:09Z,1,0
"Mam , এসে গেছি",Mania ji ka girl friend ka name hai :- OPG cookie 😂,2021-04-04T14:54:05Z,1,0
ŇőŤÝ ĶÍĽĽÉŔ śķ GAMMER,ap new game play ke video bano ga to mara name zaro lana plese my name is faisal 😍😍😍😍😍,2021-04-04T14:53:45Z,1,0
Priyansh Sharma,Mere ko 5000 Diamond de do please main Tumhare so like kar sakta hun mere doston se,2021-04-04T14:52:54Z,2,0
Priyansh Sharma,👏👏👏👏👏😍,2021-04-04T14:52:09Z,2,0
Maani solanki,Op👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,2021-04-04T14:51:52Z,2,2
Pardeep Kumar,Hello ajiubhai,2021-04-04T14:51:14Z,1,0
Maani solanki,Op op op op op💙💚💛💜💓💙💚💛💜💓❤❤💙💚💛💜💓❤💙💚💛💜💓❤💙💚💛💜💜💓❤❤💛💛💓💚💙💚💙💚💚💚💚💙💓💙💛💓❤💛💙💛💓💓💚💛💓😳😳😳,2021-04-04T14:50:09Z,1,3
Free fire Video,Hi,2021-04-04T14:49:43Z,0,0
Datta Biradar,Diamond give id 25660828,2021-04-04T14:49:19Z,1,0
Durgesh Kumar,Ajjubhai mere sath game play karana Bhai,2021-04-04T14:49:16Z,0,0
ŇőŤÝ ĶÍĽĽÉŔ śķ GAMMER,hi ajjubahi ma ap ka fun ho,2021-04-04T14:48:49Z,0,0
G O U R I Biswas YT,I am Good,2021-04-04T14:48:23Z,1,0
TRUPTI PAWAR,Muze sekao kelana,2021-04-04T14:48:09Z,0,0
G O U R I Biswas YT,Bhai ap ka lavel ? Kitna ha <br />AP ka ranked game ? 🤔<br /> Please upload reply,2021-04-04T14:47:12Z,1,0
TRUPTI PAWAR,K pelease,2021-04-04T14:46:57Z,0,0
KINDMASTER BADSHAH,Ajju bhai aapna photo lagao na video ke aage,2021-04-04T14:45:26Z,1,0
Kamlesh Ray,Ajju bhai Mujhe 10000 Diamond gift kar do aapke video family ID Delhi Hai dekh lena dusre video,2021-04-04T14:43:58Z,0,0
Tarun Maurya,Ajjubai op,2021-04-04T14:43:21Z,0,0
Shanthi Shanthi,Ajju bhai kaun sa bhi achcha Kat batao,2021-04-04T14:43:02Z,0,0
Rekha Rathee,Id-2743059356 MiTanshRathi dimond bhej do ajjubhai please 3000 dimond bhejdo,2021-04-04T14:42:40Z,0,0
Sunil Painkra,Op,2021-04-04T14:41:59Z,1,0
Mahesh Thakor,Karandeesa ayde pa daymand bajo,2021-04-04T14:40:59Z,0,0
NEELAM kumari,Bhai 60m,2021-04-04T14:40:58Z,1,0
Udhab Kr Roy,Ajay bhai apka girlfriend Ka nam Skyler ha,2021-04-04T14:40:45Z,1,0
Sudhakaran indravallari,Song name plzz,2021-04-04T14:39:46Z,0,0
Ankush kumar,Ajju bhai dj olok de do,2021-04-04T14:39:32Z,0,0
Dhapa Ajay,Ajay,2021-04-04T14:39:19Z,0,0
free fire vs pubg,Love from kashmir,2021-04-04T14:38:49Z,1,0
md Vasif Ahmed,Bhai 10000 diamond dedo mubasheer58 please,2021-04-04T14:38:04Z,0,0
LR7 OFFICAL,ANY SCHOOL AND COLLEGE STUDENTS ARE HEAR TO HAVING 95+ MARKS IN EXAM.👍👍👍🇮🇳🇮🇳🇮🇳 THANKS FOR REDING PLEASE SPPORTE ME,2021-04-04T14:37:10Z,0,0
om gamer,Ajubhai aapke kitne YouTube channel hai,2021-04-04T14:35:22Z,0,0
#INDIAN GAMER YT Indian gamer,🙄,2021-04-04T14:35:06Z,0,0
#INDIAN GAMER YT Indian gamer,😭,2021-04-04T14:35:01Z,0,0
#INDIAN GAMER YT Indian gamer,😭,2021-04-04T14:34:57Z,0,0
#INDIAN GAMER YT Indian gamer,😭,2021-04-04T14:34:53Z,0,0
#INDIAN GAMER YT Indian gamer,❤️,2021-04-04T14:34:50Z,0,0
#INDIAN GAMER YT Indian gamer,😭😁,2021-04-04T14:34:44Z,0,0
#INDIAN GAMER YT Indian gamer,😉,2021-04-04T14:34:38Z,0,0
#INDIAN GAMER YT Indian gamer,😭,2021-04-04T14:34:34Z,0,0
#INDIAN GAMER YT Indian gamer,😉,2021-04-04T14:34:28Z,1,0
#INDIAN GAMER YT Indian gamer,😭,2021-04-04T14:34:25Z,1,0
#INDIAN GAMER YT Indian gamer,😉,2021-04-04T14:34:21Z,1,0
#INDIAN GAMER YT Indian gamer,😉,2021-04-04T14:34:17Z,1,0
#INDIAN GAMER YT Indian gamer,😉,2021-04-04T14:34:13Z,1,0
#INDIAN GAMER YT Indian gamer,😁,2021-04-04T14:34:10Z,1,0
#INDIAN GAMER YT Indian gamer,😉,2021-04-04T14:34:06Z,1,0
#INDIAN GAMER YT Indian gamer,😉,2021-04-04T14:34:03Z,1,0
sangeeta mahale,Good morning ajuubhai,2021-04-04T14:34:01Z,1,0
#INDIAN GAMER YT Indian gamer,😉,2021-04-04T14:33:59Z,1,0
#INDIAN GAMER YT Indian gamer,😉,2021-04-04T14:33:56Z,1,0
#INDIAN GAMER YT Indian gamer,😭,2021-04-04T14:33:52Z,1,0
#INDIAN GAMER YT Indian gamer,😭,2021-04-04T14:33:49Z,1,0
#INDIAN GAMER YT Indian gamer,❤️,2021-04-04T14:33:43Z,1,0
#INDIAN GAMER YT Indian gamer,❤️,2021-04-04T14:33:40Z,1,0
